nothing,repetition,hamming
9973,7482,10592
9884,7465,10812
10045,7488,10589
10058,7469,10652
10002,7571,10711
10001,7673,10677
9949,7608,10773
10113,7471,10788
10100,7469,10718
9995,7477,10704
9872,7548,10643
9969,7436,10741
10002,7453,10682
10063,7402,10640
9997,7400,10814
10009,7409,10637
10082,7475,10741
9899,7609,10747
10016,7620,10838
9990,7490,10738
10080,7486,10749
10002,7495,10786
9938,7501,10610
9994,7434,10639
10021,7553,10721
10021,7516,10734
10005,7532,10814
9800,7473,10825
9907,7553,10610
10111,7443,10760
9942,7666,10751
9947,7670,10652
9972,7366,10715
9964,7480,10581
10145,7446,10821
10078,7444,10748
10184,7573,10789
9974,7490,10947
9931,7538,10676
9877,7477,10885
9949,7623,10670
9914,7367,10758
10020,7442,10656
9870,7634,10617
10192,7586,10747
9974,7469,10635
9958,7523,10678
10059,7545,10768
9985,7544,10787
10044,7430,10822
10108,7545,10902
9951,7273,10789
9920,7597,10655
10093,7552,10724
9879,7473,10731
10161,7402,10836
9958,7472,10816
9970,7388,10727
9847,7396,10841
9948,7386,10713
10065,7523,10767
10163,7626,10793
9985,7479,10715
10036,7418,10750
10085,7471,10817
9953,7394,10713
9896,7422,10711
9933,7474,10638
10075,7432,10677
10015,7498,10933
9928,7411,10650
9980,7473,10602
9909,7479,10736
9839,7591,10841
9946,7626,10703
10057,7589,10627
9913,7400,10879
10111,7431,10679
10111,7570,10572
10078,7377,10983
9948,7517,10797
9893,7423,10949
9998,7504,10711
10032,7606,10783
10157,7301,10777
10071,7517,10774
9845,7408,10734
9963,7412,10799
10004,7365,10651
9845,7610,10809
10079,7494,10749
10014,7367,10725
10000,7411,10623
10021,7424,10757
10013,7470,10908
9939,7331,10585
9820,7464,10999
9917,7329,10637
10036,7595,10737
9936,7498,10638
