nothing,repetition,hamming
1264773,11912,35388
1264937,11947,35563
1265110,11959,35524
1264846,11977,35728
1264941,12038,35666
1264726,11985,35731
1264836,11980,35779
1264967,12021,35671
1264877,12014,35762
1264962,11983,35756
1264945,12010,35714
1264859,11983,35713
1264921,12016,35735
1264803,11952,35599
1264932,12033,35671
1264974,11974,35779
1264878,11988,35774
1264818,11980,35707
1264873,11972,35799
1264991,12032,35685
1264950,12009,35669
1264828,12018,35680
1264946,11931,35386
1264825,12028,35684
1264777,11996,35706
1264984,11978,35764
1264943,11935,35392
1264762,12015,35755
1264935,11945,35570
1264881,12000,35704
1264802,11990,35700
1264709,12015,35724
1264819,11943,35434
1264863,11954,35595
1265022,12033,35642
1264830,12017,35700
1265014,12033,35675
1264854,11937,35587
1264842,12034,35672
1264973,11981,35792
1264996,11937,35618
1264996,11938,35425
1264899,11978,35781
1264845,11931,35610
1264841,11978,35701
1265061,11984,35749
1264911,11964,35778
1264793,12012,35730
1264846,11989,35789
1264886,11988,35723
1264829,12028,35673
1264965,12031,35655
1264960,12035,35682
1265055,12015,35755
1264946,11919,35447
1264994,11981,35753
1265015,11992,35661
1264807,11980,35804
1264889,12026,35702
1265059,12011,35641
1264911,12009,35708
1264948,12029,35679
1265009,11985,35717
1264927,12005,35672
1264719,11928,35399
1264915,11938,35366
1264959,11973,35775
1264878,11985,35708
1264909,12033,35692
1264877,12030,35792
1264952,11956,35618
1264753,11918,35442
1264900,11961,35746
1264903,12022,35760
1264844,11985,35734
1264837,12012,35691
1265046,11971,35788
1264909,11936,35411
1264888,11950,35608
1264619,12025,35682
1264894,11926,35442
1264856,11943,35573
1264877,11944,35581
1264824,11933,35583
1264990,11979,35789
1264950,12015,35657
1264952,11926,35450
1264890,12012,35697
1264859,11947,35610
1264880,12008,35693
1264849,11958,35559
1264977,12016,35729
1264877,12004,35740
1264965,11970,35786
1264773,12016,35752
1264837,12026,35753
1264930,11931,35425
1265032,12026,35651
1264915,12025,35683
1264929,12005,35733
