nothing,repetition,hamming
40225,11475,26974
39833,10930,26974
39837,11247,26681
39718,11169,26502
40281,11267,26947
40010,11223,26540
40002,11296,26728
39873,11327,26905
40305,11149,26454
39793,11246,27106
40076,11144,26450
39971,11351,27006
39354,11261,27312
40167,11199,26620
40008,11194,26880
40134,11336,26697
39844,11047,26864
39914,11244,26850
40094,11229,27247
39936,11199,26640
39885,11148,27059
40165,11312,26448
39947,11061,27054
40196,11123,26382
40074,11331,26615
39980,11128,26776
39936,11049,26853
39922,11097,26689
40132,11254,26897
39496,11169,26752
40018,11216,26798
39985,11226,26381
40280,11030,26746
40186,11177,26633
40166,11354,26654
39957,11015,27032
40330,11079,26868
39705,11109,26986
39746,11198,26873
40026,11147,26431
40112,11134,26552
40196,11329,26780
39887,11204,26739
39630,11105,26928
40162,11197,26741
39926,11145,26999
40215,11445,26966
39724,11124,27112
40255,11015,26713
39802,11262,26452
40183,11311,26520
40161,11209,26594
40233,11077,26950
40027,11163,26777
39970,11110,26666
40004,11119,26856
39985,11389,26951
39698,10938,26651
39658,11119,26539
39819,11079,26934
39984,11192,26826
39653,10982,26431
39966,11188,26837
40153,11317,26849
40321,11228,26925
40201,11128,26819
40016,11214,26705
40121,11205,26620
40291,11276,27033
40084,11374,26858
39918,11161,26715
40391,11070,26610
39920,11142,26761
39761,11292,26391
39752,11268,26365
39705,11213,26662
39912,11158,26741
40047,11286,27134
40128,11256,26771
40022,11232,27037
40321,11263,26797
39903,11207,26705
39715,11190,26917
40084,11321,26640
39844,11086,26386
40173,11494,26732
40321,11393,26966
39775,11201,26923
40385,11192,26610
39880,11250,26790
40058,11149,26616
39842,11144,26727
39964,11068,26906
39983,11326,26595
39713,11174,26502
40266,11151,26528
40295,11141,26982
39904,11299,27214
40066,11252,26970
39863,11073,27225
