nothing,repetition,hamming
389,0,0
395,0,0
403,0,0
403,0,0
393,0,0
405,0,0
393,0,0
408,0,0
395,0,0
400,0,0
408,0,0
399,0,0
405,0,0
408,0,0
404,0,0
395,0,0
397,0,0
405,0,0
408,0,0
405,0,0
400,0,0
393,0,0
395,0,0
399,0,0
403,0,0
399,0,0
405,0,0
400,0,0
394,0,0
396,0,0
405,0,0
393,0,0
404,0,0
392,0,0
394,0,0
395,0,0
405,0,0
400,0,0
400,0,0
396,0,0
404,0,0
405,0,0
397,0,0
405,0,0
407,0,0
395,0,0
394,0,0
391,0,0
390,0,0
392,0,0
405,0,0
404,0,0
399,0,0
407,0,0
394,0,0
401,0,0
397,0,0
394,0,0
401,0,0
396,0,0
400,0,0
399,0,0
404,0,0
407,0,0
405,0,0
396,0,0
398,0,0
397,0,0
403,0,0
400,0,0
393,0,0
396,0,0
394,0,0
393,0,0
399,0,0
394,0,0
405,0,0
397,0,0
403,0,0
403,0,0
402,0,0
393,0,0
404,0,0
394,0,0
389,0,0
402,0,0
390,0,0
401,0,0
394,0,0
403,0,0
405,0,0
394,0,0
400,0,0
401,0,0
392,0,0
402,0,0
399,0,0
394,0,0
404,0,0
401,0,0
