procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 JST
 1  1 507252  67296   1556  53996    0    2     2     6    1   31  0  0 100  0  0 2021-11-03 18:07:25
 1  0 571508  81248   3044  60316  741 6736  1935  6743 1735 1131 50  2 47  1  0 2021-11-03 18:07:35
 1  0 607288  77216   3180  58668   50 3640   107  3643 1041  270 50  1 49  1  0 2021-11-03 18:07:45
 1  0 640568  69336   3772  57836   92 3402   246  3408 1206  406 50  1 49  0  0 2021-11-03 18:07:55
 1  0 677492  64296   3348  56672  472 4132   638  4137 1144  397 50  1 49  0  0 2021-11-03 18:08:05
 1  0 730780  75128   2936  56816  521 5752  1174  5756 1834  475 50  1 49  0  0 2021-11-03 18:08:15
 1  0 778100  75604   3064  57700  474 5042   879  5059 1746  577 50  1 48  0  0 2021-11-03 18:08:25
 1  0 828020  82208   3368  58064  562 5471   779  5485 1689  441 50  2 48  0  0 2021-11-03 18:08:35
 1  0 854644  65356   3516  59016  617 3055  1002  3069 1269  530 50  2 48  0  0 2021-11-03 18:08:45
 1  0 902004  77452   2844  52580  359 5037   390  5045 1617  263 50  1 49  0  0 2021-11-03 18:08:55
 1  0 941940  71628   3520  55256  349 4316   954  4319 1493  301 50  1 49  0  0 2021-11-03 18:09:05
 1  0 974964  66380   2928  51104  356 3583   378  3597 1089  261 50  1 49  0  0 2021-11-03 18:09:15
 1  0 1012852  65476   2708  48456  356 4096   672  4100 1446  280 50  1 49  0  0 2021-11-03 18:09:25
 1  0 1052532  66516   2192  49576  360 4301   787  4304 1495  284 50  1 49  0  0 2021-11-03 18:09:35
 1  0 1097588  70524   1664  48868  363 4859   778  4864 1453  265 49  1 49  0  0 2021-11-03 18:09:45
 1  0 1151092  80888   2144  50728  351 5747   720  5752 1563  291 50  1 49  0  0 2021-11-03 18:09:55
 1  0 1210996  84368   5540  63900  440 6400  1493  6404 2042  422 50  2 48  0  0 2021-11-03 18:10:05
 1  0 1249396  87612   4776  56912  363 4194   409  4198 1467  278 50  1 49  0  0 2021-11-03 18:10:15
